港澳台,#genre#
民视新闻[1920x1080],http://123.51.230.108:18663/.m3u8
民视新闻[1920x1080],http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
八大第一[1920x1080],http://123.51.230.108:18539/.m3u8
東森戲劇HD[1920x1080],http://123.51.230.108:18538/.m3u8
无线财经[1920x1080],http://radius.8866.org:800/hls/83/index.m3u8
民視新聞[1920x1080],http://123.51.230.108:18663/.m3u8
中天娱乐台[1280x720],http://162.19.247.76:22222/live/ztyl/index.m3u8
民視新聞[1920x1080],http://123.51.230.108:18663/.m3u8
八大第一HD[1920x1080],http://123.51.230.108:18539/.m3u8
東森財經HD[1920x1080],http://123.51.230.108:18515/.m3u8
緯來綜合HD[1920x1080],http://123.51.230.108:18540/.m3u8
東風衛視[1920x1080],http://123.51.230.108:18560/.m3u8
翡翠台[1920x1080],http://162.19.247.76:22222/live/tvbfc/index.m3u8
中天娱乐台[1280x720],http://162.19.247.76:22222/live/ztyl/index.m3u8
民视新闻[1920x1080],http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
NHK世界HD[1920x1080],http://123.51.230.108:18525/.m3u8
美国中文电视[1280x720],https://jpts.sinovision.net/livestream.m3u8
民视新闻[1920x1080],http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
凤凰香港[1920x1080],http://120.84.96.89:808/hls/81/index.m3u8
美国中文[1280x720],https://jpts.sinovision.net/livestream.m3u8
凤凰香港[1920x1080],http://120.84.96.87:808/hls/81/index.m3u8
财经体育新闻[1920x1080],http://120.84.96.82:808/hls/86/index.m3u8
凤凰香港[1920x1080],http://120.84.96.73:808/hls/81/index.m3u8
财经体育新闻[1920x1080],http://120.84.96.89:808/hls/86/index.m3u8
财经体育新闻[1920x1080],http://120.84.96.89:808/hls/86/index.m3u8
东森电影[1920x1080],http://120.84.96.89:808/hls/32/index.m3u8
东森电影[1920x1080],http://120.84.96.87:808/hls/32/index.m3u8
私人影院[1920x1080],http://120.84.96.82:808/hls/85/index.m3u8
东森电影[1920x1080],http://120.84.96.82:808/hls/32/index.m3u8
财经体育新闻[1920x1080],http://120.84.96.73:808/hls/86/index.m3u8
无线财经[1920x1080],http://radius.8866.org:800/hls/83/index.m3u8
