🇨🇳 央视,#genre#
CCTV1,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV2,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV3,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV4,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV5,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV6,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV7,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV8,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV9,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV10,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV11,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV12,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV13,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV14,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV15,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV16,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV16(4k),http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2012492303.m3u8
CCTV17,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV5P,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV4K,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000266303.m3u8

CCTV1,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV2,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV3,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV4,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV5,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV6,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV7,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV8,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV9,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV10,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV11,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV12,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV13,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV14,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV15,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV16,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV16(4k),http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012492303.m3u8
CCTV17,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV5P,http://58.205.220.58/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204503.m3u8
