电信代理,#genre#
CCTV1,http://www.namewee.xyz/gudou.php?id=364&id=1402_4500
CCTV2,http://www.namewee.xyz/gudou.php?id=364&id=CCTV2HD_7000
CCTV3,http://www.namewee.xyz/gudou.php?id=364&id=1603
CCTV4,http://www.namewee.xyz/gudou.php?id=364&id=1604
CCTV5,http://www.namewee.xyz/gudou.php?id=364&id=1605
CCTV5+,http://www.namewee.xyz/gudou.php?id=364&id=1403
CCTV6,http://www.namewee.xyz/gudou.php?id=364&id=1606
CCTV7,http://www.namewee.xyz/gudou.php?id=364&id=1607
CCTV8,http://www.namewee.xyz/gudou.php?id=364&id=1608
CCTV9,http://www.namewee.xyz/gudou.php?id=364&id=CCTV9HD_7000
CCTV10,http://www.namewee.xyz/gudou.php?id=364&id=1610
CCTV11,http://www.namewee.xyz/gudou.php?id=364&id=CCTV-11HD_7500
CCTV12,http://www.namewee.xyz/gudou.php?id=364&id=CCTV12HD_7000
CCTV13,http://www.namewee.xyz/gudou.php?id=364&id=1613
CCTV14,http://www.namewee.xyz/gudou.php?id=364&id=CCTV14HD_7000
CCTV15,http://www.namewee.xyz/gudou.php?id=364&id=CCTV-15HD_7500
CCTV16,http://www.namewee.xyz/gudou.php?id=364&id=1617_4500
CCTV17,http://www.namewee.xyz/gudou.php?id=364&id=CCTV17HD
广东卫视,http://www.namewee.xyz/gudou.php?id=364&id=1401
广东体育HD,http://www.namewee.xyz/gudou.php?id=364&id=1413_4500
梅州1高清-A,http://p2.vzan.com/slowlive/403126774572750089/live.m3u8
梅州1高清-B,http://www.namewee.xyz/gudou.php?id=364&id=meizhou1HD_4500
梅州2高清-A,http://p2.vzan.com/slowlive/645350022315428297/live.m3u8
梅州2高清-B,http://www.namewee.xyz/gudou.php?id=364&id=meizhou2HD_4500
梅州导视,http://www.namewee.xyz/gudou.php?id=364&id=meizhoudaoshiHD
梅县综合,http://www.namewee.xyz/gudou.php?id=364&id=meixianHD_4500
广东珠江,http://www.namewee.xyz/gudou.php?id=364&id=gdzhujiangHD_7500
广东新闻,http://www.namewee.xyz/gudou.php?id=364&id=1454_4500
广东民生,http://www.namewee.xyz/gudou.php?id=364&id=1455_4500
广东经济科教,http://www.namewee.xyz/gudou.php?id=364&id=GDjingjikejiaoHD_7000
大湾区卫视,http://www.namewee.xyz/gudou.php?id=364&id=1456_4500
广东影视,http://www.namewee.xyz/gudou.php?id=364&id=1458_4500
嘉佳卡通,http://www.namewee.xyz/gudou.php?id=364&id=1459_4500
广东少儿,http://www.namewee.xyz/gudou.php?id=364&id=1457_4500
G导视高清,http://www.namewee.xyz/gudou.php?id=364&id=GHDdaoshi_7500
翡翠台,http://www.namewee.xyz/gudou.php?id=364&id=1350_4500
明珠台,http://www.namewee.xyz/gudou.php?id=364&id=1351_4500
凤凰中文,http://www.namewee.xyz/gudou.php?id=364&id=fhzw_1500
星空卫视,http://www.namewee.xyz/gudou.php?id=364&id=xingkong_1500
澳亚卫视,http://www.namewee.xyz/gudou.php?id=364&id=aoya_1500
CHC高清电影,http://www.namewee.xyz/gudou.php?id=364&id=CHCHD_7000
乐游,http://www.namewee.xyz/gudou.php?id=364&id=quanjishiHD_7000
求索纪录,http://www.namewee.xyz/gudou.php?id=364&id=QSJLHD_7000
求索science,http://www.namewee.xyz/gudou.php?id=364&id=qiusuokexueHD_7000
求索动物,http://www.namewee.xyz/gudou.php?id=364&id=QSDWHD_7000
求索生活,http://www.namewee.xyz/gudou.php?id=364&id=1612
魅力足球,http://www.namewee.xyz/gudou.php?id=364&id=meiliyinyueHD_7000
劲爆体育,http://www.namewee.xyz/gudou.php?id=364&id=jinbaotiyuHD_7000
