绵阳电信,#genre#
星空卫视,http://op.nicker.top:5022/udp/239.93.5.190:9612
V音乐,http://op.nicker.top:5022/udp/239.93.5.198:9660
凤凰卫视台,http://op.nicker.top:5022/udp/239.93.5.31:8012
凤凰资讯台,http://op.nicker.top:5022/udp/239.93.5.118:8708
CCTV1高清,http://op.nicker.top:5022/udp/239.93.5.133:9260
CCTV2高清,http://op.nicker.top:5022/udp/239.93.5.60:8354
CCTV3高清,http://op.nicker.top:5022/udp/239.93.5.141:9320
CCTV4高清,http://op.nicker.top:5022/udp/239.93.4.186:7728
CCTV5高清,http://op.nicker.top:5022/udp/239.93.5.143:9332
CCTV6高清,http://op.nicker.top:5022/udp/239.93.5.144:9338
CCTV7高清,http://op.nicker.top:5022/udp/239.93.5.64:8378
CCTV8高清,http://op.nicker.top:5022/udp/239.93.5.145:9344
CCTV9高清,http://op.nicker.top:5022/udp/239.93.5.61:8360
CCTV10高清,http://op.nicker.top:5022/udp/239.93.5.65:8384
CCTV11高清,http://op.nicker.top:5022/udp/239.93.5.129:7914
CCTV12高清,http://op.nicker.top:5022/udp/239.93.5.68:8402
CCTV13高清,http://op.nicker.top:5022/udp/239.93.4.210:8278
CCTV少儿高清,http://op.nicker.top:5022/udp/239.93.5.69:8408
CCTV15高清,http://op.nicker.top:5022/udp/239.93.5.131:7918
CCTV17高清,http://op.nicker.top:5022/udp/239.93.5.154:7832
CCTV5高清,http://op.nicker.top:5022/udp/239.93.5.78:8462
爱上4K专区,http://op.nicker.top:5022/udp/239.93.4.252:8816
CGTN英语,http://op.nicker.top:5022/udp/239.93.4.206:8844
四川卫视高清,http://op.nicker.top:5022/udp/239.93.5.107:8636
湖南卫视高清,http://op.nicker.top:5022/udp/239.93.5.193:9630
江苏卫视高清,http://op.nicker.top:5022/udp/239.93.5.194:9636
浙江卫视高清,http://op.nicker.top:5022/udp/239.93.5.215:9762
东方卫视高清,http://op.nicker.top:5022/udp/239.93.5.216:9768
北京卫视高清,http://op.nicker.top:5022/udp/239.93.5.137:9296
深圳卫视高清,http://op.nicker.top:5022/udp/239.93.5.139:9308
广东卫视高清,http://op.nicker.top:5022/udp/239.93.5.132:9254
天津卫视高清,http://op.nicker.top:5022/udp/239.93.5.125:8750
山东卫视高清,http://op.nicker.top:5022/udp/239.93.5.126:8756
SCTV2高清,http://op.nicker.top:5022/udp/239.93.5.71:8420
SCTV3高清,http://op.nicker.top:5022/udp/239.93.5.41:8240
SCTV4高清,http://op.nicker.top:5022/udp/239.93.4.179:7720
SCTV5高清,http://op.nicker.top:5022/udp/239.93.5.188:9600
SCTV6高清,http://op.nicker.top:5022/udp/239.93.5.113:7824
SCTV7高清,http://op.nicker.top:5022/udp/239.93.4.87:7348
SCTV科教高清,http://op.nicker.top:5022/udp/239.93.5.209:8274
四川乡村频道高清,http://op.nicker.top:5022/udp/239.93.5.97:7820
康巴卫视高清,http://op.nicker.top:5022/udp/239.93.4.212:8344
江西卫视高清,http://op.nicker.top:5022/udp/239.93.4.214:7748
东南卫视高清,http://op.nicker.top:5022/udp/239.93.4.89:7356
黑龙江卫视高清,http://op.nicker.top:5022/udp/239.93.5.140:9314
重庆卫视高清,http://op.nicker.top:5022/udp/239.93.5.7:8024
贵州卫视高清,http://op.nicker.top:5022/udp/239.93.4.201:7744
湖北卫视高清,http://op.nicker.top:5022/udp/239.93.5.127:8762
安徽卫视高清,http://op.nicker.top:5022/udp/239.93.4.190:7974
河北卫视高清,http://op.nicker.top:5022/udp/239.93.4.180:7752
辽宁卫视高清,http://op.nicker.top:5022/udp/239.93.5.191:7978
河南卫视高清,http://op.nicker.top:5022/udp/239.93.4.209:8270
广西卫视高清,http://op.nicker.top:5022/udp/239.93.4.208:8266
云南卫视,http://op.nicker.top:5022/udp/239.93.5.39:8228
吉林卫视高清,http://op.nicker.top:5022/udp/239.93.5.221:9798
陕西卫视,http://op.nicker.top:5022/udp/239.93.5.48:8282
山西卫视,http://op.nicker.top:5022/udp/239.93.5.36:8210
内蒙古卫视,http://op.nicker.top:5022/udp/239.93.5.52:8306
青海卫视,http://op.nicker.top:5022/udp/239.93.5.44:8258
宁夏卫视,http://op.nicker.top:5022/udp/239.93.5.152:9386
西藏卫视,http://op.nicker.top:5022/udp/239.93.5.51:8300
新疆卫视,http://op.nicker.top:5022/udp/239.93.5.53:8312
甘肃卫视高清,http://op.nicker.top:5022/udp/239.93.5.49:8288
海南卫视,http://op.nicker.top:5022/udp/239.93.5.227:9834
陕西农林,http://op.nicker.top:5022/udp/239.93.5.173:7942
兵团卫视,http://op.nicker.top:5022/udp/239.93.4.254:7796
峨眉电影高清,http://op.nicker.top:5022/udp/239.93.5.116:8696
厦门卫视,http://op.nicker.top:5022/udp/239.93.5.242:9924
三沙卫视,http://op.nicker.top:5022/udp/239.93.5.50:8294
山东教育卫视,http://op.nicker.top:5022/udp/239.93.5.3:8828
中国交通,http://op.nicker.top:5022/udp/239.93.4.174:7760
绵阳科技高清,http://op.nicker.top:5022/udp/239.93.5.76:8450
绵阳综合高清,http://op.nicker.top:5022/udp/239.93.4.178:7712
上海纪实高清,http://op.nicker.top:5022/udp/239.93.4.189:7736
金鹰纪实高清,http://op.nicker.top:5022/udp/239.93.4.199:7740
CETV1 高清,http://op.nicker.top:5022/udp/239.93.5.8:7812
熊猫新闻高清专区,http://op.nicker.top:5022/udp/239.93.5.99:8588
熊猫体娱高清专区,http://op.nicker.top:5022/udp/239.93.5.109:8648
熊猫少儿高清专区,http://op.nicker.top:5022/udp/239.93.5.178:9540
熊猫影院专区,http://op.nicker.top:5022/udp/239.93.5.110:8654
睛彩四川专区,http://op.nicker.top:5022/udp/239.93.4.40:7140
云看熊猫专区,http://op.nicker.top:5022/udp/239.93.5.253:9990
金熊猫卡通高清专区,http://op.nicker.top:5022/udp/239.93.5.104:8618
炫动卡通,http://op.nicker.top:5022/udp/239.93.5.106:8630
嘉佳卡通,http://op.nicker.top:5022/udp/239.93.5.158:9432
收视导视,http://op.nicker.top:5022/udp/239.93.5.122:8732
熊猫爱生活高清专区,http://op.nicker.top:5022/udp/239.93.5.32:8186
大爱四川高清专区,http://op.nicker.top:5022/udp/239.93.5.184:9576
大爱旅游高清专区,http://op.nicker.top:5022/udp/239.93.5.225:8016
大爱生活高清专区,http://op.nicker.top:5022/udp/239.93.5.226:8020
大爱时尚高清专区,http://op.nicker.top:5022/udp/239.93.5.228:8028
