酒店测试,#genre#
cctv1,http://120.84.96.121:808/hls/1/index.m3u8
cctv1,http://120.84.96.121:808/hls/101/index.m3u8
cctv1,http://120.84.96.103:808/hls/1/index.m3u8
cctv1,http://120.84.96.103:808/hls/101/index.m3u8
cctv1,http://120.84.96.109:808/hls/1/index.m3u8
cctv1,http://120.84.96.109:808/hls/101/index.m3u8
cctv2,http://120.84.96.109:808/hls/102/index.m3u8
cctv2,http://120.84.96.103:808/hls/102/index.m3u8
cctv2,http://120.84.96.121:808/hls/102/index.m3u8
cctv3,http://120.84.96.121:808/hls/103/index.m3u8
cctv3,http://120.84.96.121:808/hls/3/index.m3u8
cctv3,http://120.84.96.103:808/hls/103/index.m3u8
cctv3,http://120.84.96.103:808/hls/3/index.m3u8
cctv3,http://120.84.96.109:808/hls/103/index.m3u8
cctv3,http://120.84.96.109:808/hls/3/index.m3u8
cctv4,http://120.84.96.109:808/hls/4/index.m3u8
cctv4,http://120.84.96.103:808/hls/4/index.m3u8
cctv4,http://120.84.96.121:808/hls/4/index.m3u8
cctv5,http://120.84.96.121:808/hls/5/index.m3u8
cctv5,http://120.84.96.103:808/hls/5/index.m3u8
cctv5,http://120.84.96.109:808/hls/5/index.m3u8
cctv5+,http://120.84.96.109:808/hls/116/index.m3u8
cctv5+,http://120.84.96.109:808/hls/30/index.m3u8
cctv5+,http://120.84.96.121:808/hls/116/index.m3u8
cctv5+,http://120.84.96.121:808/hls/30/index.m3u8
cctv5+,http://120.84.96.103:808/hls/116/index.m3u8
cctv5+,http://120.84.96.103:808/hls/30/index.m3u8
cctv6,http://120.84.96.121:808/hls/6/index.m3u8
cctv6,http://120.84.96.121:808/hls/106/index.m3u8
cctv6,http://120.84.96.103:808/hls/6/index.m3u8
cctv6,http://120.84.96.103:808/hls/106/index.m3u8
cctv6,http://120.84.96.109:808/hls/6/index.m3u8
cctv6,http://120.84.96.109:808/hls/106/index.m3u8
cctv7,http://120.84.96.109:808/hls/107/index.m3u8
cctv7,http://120.84.96.103:808/hls/107/index.m3u8
cctv7,http://120.84.96.121:808/hls/107/index.m3u8
cctv8,http://120.84.96.121:808/hls/108/index.m3u8
cctv8,http://120.84.96.121:808/hls/8/index.m3u8
cctv8,http://120.84.96.103:808/hls/108/index.m3u8
cctv8,http://120.84.96.103:808/hls/8/index.m3u8
cctv8,http://120.84.96.109:808/hls/108/index.m3u8
cctv8,http://120.84.96.109:808/hls/8/index.m3u8
cctv9,http://120.84.96.109:808/hls/9/index.m3u8
cctv9,http://120.84.96.109:808/hls/109/index.m3u8
cctv9,http://120.84.96.103:808/hls/9/index.m3u8
cctv9,http://120.84.96.103:808/hls/109/index.m3u8
cctv9,http://120.84.96.121:808/hls/9/index.m3u8
cctv9,http://120.84.96.121:808/hls/109/index.m3u8
cctv10,http://120.84.96.121:808/hls/110/index.m3u8
cctv10,http://120.84.96.103:808/hls/110/index.m3u8
cctv10,http://120.84.96.109:808/hls/110/index.m3u8
cctv11,http://120.84.96.109:808/hls/111/index.m3u8
cctv11,http://120.84.96.103:808/hls/111/index.m3u8
cctv11,http://120.84.96.121:808/hls/111/index.m3u8
cctv12,http://120.84.96.121:808/hls/112/index.m3u8
cctv12,http://120.84.96.103:808/hls/112/index.m3u8
cctv12,http://120.84.96.109:808/hls/112/index.m3u8
cctv13,http://120.84.96.109:808/hls/113/index.m3u8
cctv13,http://120.84.96.103:808/hls/113/index.m3u8
cctv13,http://120.84.96.121:808/hls/113/index.m3u8
cctv14,http://120.84.96.121:808/hls/114/index.m3u8
cctv14,http://120.84.96.103:808/hls/114/index.m3u8
cctv14,http://120.84.96.109:808/hls/114/index.m3u8
cctv15,http://120.84.96.109:808/hls/115/index.m3u8
cctv15,http://120.84.96.103:808/hls/115/index.m3u8
cctv15,http://120.84.96.121:808/hls/115/index.m3u8
cctv17,http://120.84.96.121:808/hls/117/index.m3u8
cctv17,http://120.84.96.103:808/hls/117/index.m3u8
cctv17,http://120.84.96.109:808/hls/117/index.m3u8
凤凰资讯,http://120.84.96.109:808/hls/28/index.m3u8
凤凰资讯,http://120.84.96.121:808/hls/28/index.m3u8
凤凰资讯,http://120.84.96.103:808/hls/28/index.m3u8
凤凰香港,http://120.84.96.109:808/hls/81/index.m3u8
凤凰香港,http://120.84.96.103:808/hls/81/index.m3u8
凤凰香港,http://120.84.96.121:808/hls/81/index.m3u8
凤凰中文,http://120.84.96.109:808/hls/29/index.m3u8
凤凰中文,http://120.84.96.121:808/hls/29/index.m3u8
凤凰中文,http://120.84.96.103:808/hls/29/index.m3u8
翡翠财经,http://120.84.96.103:808/hls/86/index.m3u8
翡翠财经,http://120.84.96.121:808/hls/86/index.m3u8
翡翠财经,http://120.84.96.109:808/hls/86/index.m3u8
东森电影,http://120.84.96.109:808/hls/32/index.m3u8
东森电影,http://120.84.96.121:808/hls/32/index.m3u8
东森电影,http://120.84.96.103:808/hls/32/index.m3u8
东森洋片,http://120.84.96.103:808/hls/33/index.m3u8
东森洋片,http://120.84.96.121:808/hls/33/index.m3u8
东森洋片,http://120.84.96.109:808/hls/33/index.m3u8
民视新闻,http://120.84.96.109:808/hls/34/index.m3u8
民视新闻,http://120.84.96.121:808/hls/34/index.m3u8
民视新闻,http://120.84.96.103:808/hls/34/index.m3u8
潮州综合,http://120.84.96.103:808/hls/20/index.m3u8
潮州综合,http://120.84.96.121:808/hls/20/index.m3u8
潮州综合,http://120.84.96.109:808/hls/20/index.m3u8
广东体育,http://120.84.96.109:808/hls/22/index.m3u8
广东体育,http://120.84.96.121:808/hls/22/index.m3u8
广东体育,http://120.84.96.121:808/hls/170/index.m3u8
广东体育,http://120.84.96.103:808/hls/22/index.m3u8
广东体育,http://120.84.96.103:808/hls/170/index.m3u8
广东体育,http://120.84.96.109:808/hls/170/index.m3u8
广东新闻,http://120.84.96.109:808/hls/124/index.m3u8
广东新闻,http://120.84.96.103:808/hls/124/index.m3u8
广东新闻,http://120.84.96.121:808/hls/124/index.m3u8
