广东g8dyou,#genre#
佛山公共,http://chuangye168.gnway.org:56994/g8dyou.php?id=foshangonggongHD_4500
佛山公共,http://www.kitcc.cn:8888/udp/239.253.43.53:5146
佛山综合,http://chuangye168.gnway.org:56994/g8dyou.php?id=foshanzongheHD_4500
佛山综合,http://www.kitcc.cn:8888/udp/239.253.43.57:5146
佛山影视,http://chuangye168.gnway.org:56994/g8dyou.php?id=foshanyingshiHD_4500
佛山影视,http://www.kitcc.cn:8888/udp/239.253.43.56:5146
佛山南海,http://www.kitcc.cn:8888/udp/239.253.43.54:5146
佛山顺德,http://www.kitcc.cn:8888/udp/239.253.43.55:5146
大湾区卫视,http://chuangye168.gnway.org:56994/g8dyou.php?id=gdnanfang_1500
大湾区卫视,http://www.kitcc.cn:8888/udp/239.77.0.215:5146
广东卫视,http://chuangye168.gnway.org:56994/g8dyou.php?id=guangdongHD_7000
广东卫视,http://www.kitcc.cn:8888/udp/239.77.1.19:5146
广东卫视,http://www.kitcc.cn:8888/udp/239.77.1.152:5146
广东卫视,http://www.kitcc.cn:8888/udp/239.77.0.84:5146
广东卫视,http://www.kitcc.cn:8888/udp/239.77.0.166:5146
广东新闻,http://chuangye168.gnway.org:56994/g8dyou.php?id=gdnews_1500
广东新闻,http://www.kitcc.cn:8888/udp/239.77.0.173:5146
广东珠江,http://chuangye168.gnway.org:56994/g8dyou.php?id=gdzhujiangHD_7500
广东珠江,http://www.kitcc.cn:8888/udp/239.77.0.1:5146
广东珠江,http://www.kitcc.cn:8888/udp/239.77.0.114:5146
广东体育,http://chuangye168.gnway.org:56994/g8dyou.php?id=1413
广东体育,http://www.kitcc.cn:8888/udp/239.77.0.112:5146
广东体育,http://www.kitcc.cn:8888/udp/239.77.0.168:5146
广东经济科教,http://chuangye168.gnway.org:56994/g8dyou.php?id=GDjingjikejiaoHD_7000
广东经济科教,http://www.kitcc.cn:8888/udp/239.77.0.85:5146
广东经济科教,http://www.kitcc.cn:8888/udp/239.77.0.167:5146
广东公共,http://chuangye168.gnway.org:56994/g8dyou.php?id=gdpublic_1500
广东公共,http://www.kitcc.cn:8888/udp/239.77.0.225:5146
广东影视,http://chuangye168.gnway.org:56994/g8dyou.php?id=gdyingshi_1500
广东影视,http://www.kitcc.cn:8888/udp/239.77.0.217:5146
广东少儿,http://chuangye168.gnway.org:56994/g8dyou.php?id=gdshaoer_1500
广东少儿,http://www.kitcc.cn:8888/udp/239.77.0.250:5146
广东综艺4K,http://chuangye168.gnway.org:56994/g8dyou.php?id=GDZYHD4K_38000
广东综艺4K,http://www.kitcc.cn:8888/udp/239.77.1.236:5146
广东综艺4K,http://www.kitcc.cn:8888/udp/239.77.1.237:5146
广东综艺4K,http://www.kitcc.cn:8888/udp/239.77.0.244:5146
广东综艺4K,http://www.kitcc.cn:8888/udp/239.77.0.246:5146
广东综艺4K,http://www.kitcc.cn:8888/udp/239.77.0.245:5146
广东综艺4K,http://www.kitcc.cn:8888/udp/239.77.0.252:5146
广东移动,http://www.kitcc.cn:8888/udp/239.77.0.20:5146
广东房产,http://www.kitcc.cn:8888/udp/239.77.0.14:5146
嘉佳卡通,http://chuangye168.gnway.org:56994/g8dyou.php?id=gdjiajiacartoon_1500
嘉佳卡通,http://www.kitcc.cn:8888/udp/239.77.0.179:5146
魅力足球,http://chuangye168.gnway.org:56994/g8dyou.php?id=meiliyinyueHD_7000
劲爆体育,http://chuangye168.gnway.org:56994/g8dyou.php?id=jinbaotiyuHD_7000
求索纪录,http://chuangye168.gnway.org:56994/g8dyou.php?id=QSJLHD_7000
求索科学,http://chuangye168.gnway.org:56994/g8dyou.php?id=qiusuokexueHD_7000
求索动物,http://chuangye168.gnway.org:56994/g8dyou.php?id=QSDWHD_7000
求索生活,http://chuangye168.gnway.org:56994/g8dyou.php?id=QSSHHD_7000
