电视,#genre#
CCTV1,http://diygz.f3322.org:9090/hls/15/index.m3u8
CCTV2,http://diygz.f3322.org:9090/hls/16/index.m3u8
CCTV3,http://diygz.f3322.org:9090/hls/17/index.m3u8
CCTV4,http://diygz.f3322.org:9090/hls/18/index.m3u8
CCTV5,http://diygz.f3322.org:9090/hls/19/index.m3u8
CCTV6,http://diygz.f3322.org:9090/hls/20/index.m3u8
CCTV7,http://diygz.f3322.org:9090/hls/21/index.m3u8
CCTV8,http://diygz.f3322.org:9090/hls/22/index.m3u8
CCTV9,http://diygz.f3322.org:9090/hls/23/index.m3u8
CCTV10,http://diygz.f3322.org:9090/hls/24/index.m3u8
CCTV11,http://diygz.f3322.org:9090/hls/25/index.m3u8
CCTV12,http://diygz.f3322.org:9090/hls/26/index.m3u8
CCTV13,http://diygz.f3322.org:9090/hls/27/index.m3u8
CCTV14,http://diygz.f3322.org:9090/hls/28/index.m3u8
CCTV15,http://diygz.f3322.org:9090/hls/29/index.m3u8
CCTV5+,http://jydx.jdshipin.com:808/hls/16/index.m3u8
CCTV17,http://jydx.jdshipin.com:808/hls/17/index.m3u8
CGTN,https://live.cgtn.com/1000/prog_index.m3u8
中国教育1台,http://jydx.jdshipin.com:808/hls/64/index.m3u8
中国教育4台,http://jydx.jdshipin.com:808/hls/111/index.m3u8
揭阳综合,http://jydx.jdshipin.com:808/hls/21/index.m3u8
揭阳生活,http://jydx.jdshipin.com:808/hls/22/index.m3u8
潮州综合,http://jydx.jdshipin.com:808/hls/23/index.m3u8
汕头综合,http://jydx.jdshipin.com:808/hls/24/index.m3u8
翡翠台,http://jydx.jdshipin.com:808/hls/25/index.m3u8
明珠台,http://jydx.jdshipin.com:808/hls/26/index.m3u8
星空卫视,http://jydx.jdshipin.com:808/hls/87/index.m3u8
Channel [V],http://jydx.jdshipin.com:808/hls/88/index.m3u8
TVB星河频道,http://jydx.jdshipin.com:808/hls/135/index.m3u8
凤凰资讯,https://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰中文,https://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
广东公共,http://diygz.f3322.org:9090/hls/4/index.m3u8
广东新闻,http://diygz.f3322.org:9090/hls/3/index.m3u8
广东经济,http://diygz.f3322.org:9090/hls/7/index.m3u8
广东体育,http://diygz.f3322.org:9090/hls/5/index.m3u8
南方卫视,http://diygz.f3322.org:9090/hls/8/index.m3u8
广东影视,http://diygz.f3322.org:9090/hls/9/index.m3u8
广东综艺,http://diygz.f3322.org:9090/hls/10/index.m3u8
广东少儿,http://diygz.f3322.org:9090/hls/11/index.m3u8
珠江频道,http://diygz.f3322.org:9090/hls/2/index.m3u8
广东房产,http://diygz.f3322.org:9090/hls/13/index.m3u8
岭南戏曲,http://diygz.f3322.org:9090/hls/14/index.m3u8
广东卫视,http://diygz.f3322.org:9090/hls/1/index.m3u8
湖南卫视,http://diygz.f3322.org:9090/hls/30/index.m3u8
浙江卫视,http://diygz.f3322.org:9090/hls/31/index.m3u8
江苏卫视,http://diygz.f3322.org:9090/hls/32/index.m3u8
东方卫视,http://diygz.f3322.org:9090/hls/33/index.m3u8
北京卫视,http://diygz.f3322.org:9090/hls/35/index.m3u8
深圳卫视,http://diygz.f3322.org:9090/hls/40/index.m3u8
天津卫视,http://diygz.f3322.org:9090/hls/36/index.m3u8
安徽卫视,http://diygz.f3322.org:9090/hls/34/index.m3u8
黑龙江卫视,http://diygz.f3322.org:9090/hls/43/index.m3u8
湖北卫视,http://diygz.f3322.org:9090/hls/41/index.m3u8
四川卫视,http://diygz.f3322.org:9090/hls/45/index.m3u8
贵州卫视,http://diygz.f3322.org:9090/hls/44/index.m3u8
辽宁卫视,http://diygz.f3322.org:9090/hls/42/index.m3u8
东南卫视,http://diygz.f3322.org:9090/hls/50/index.m3u8
金鹰纪实,http://diygz.f3322.org:9090/hls/95/index.m3u8
上海纪实,http://jydx.jdshipin.com:808/hls/56/index.m3u8
河北卫视,http://diygz.f3322.org:9090/hls/49/index.m3u8
江西卫视,http://diygz.f3322.org:9090/hls/39/index.m3u8
吉林卫视,http://diygz.f3322.org:9090/hls/52/index.m3u8
广西卫视,http://diygz.f3322.org:9090/hls/51/index.m3u8
山东教育卫视,http://diygz.f3322.org:9090/hls/37/index.m3u8
宁夏卫视,http://diygz.f3322.org:9090/hls/58/index.m3u8
山东卫视,http://diygz.f3322.org:9090/hls/38/index.m3u8
重庆卫视,http://diygz.f3322.org:9090/hls/48/index.m3u8
云南卫视,http://diygz.f3322.org:9090/hls/47/index.m3u8
青海卫视,http://diygz.f3322.org:9090/hls/56/index.m3u8
河南卫视,http://diygz.f3322.org:9090/hls/46/index.m3u8
陕西卫视,http://diygz.f3322.org:9090/hls/53/index.m3u8
山西卫视,http://diygz.f3322.org:9090/hls/54/index.m3u8
内蒙古卫视,http://diygz.f3322.org:9090/hls/55/index.m3u8
旅游卫视,http://diygz.f3322.org:9090/hls/57/index.m3u8
甘肃卫视,http://diygz.f3322.org:9090/hls/61/index.m3u8
兵团卫视,http://diygz.f3322.org:9090/hls/62/index.m3u8
西藏卫视,http://diygz.f3322.org:9090/hls/59/index.m3u8
新疆卫视,http://diygz.f3322.org:9090/hls/60/index.m3u8
三沙卫视,http://jydx.jdshipin.com:808/hls/105/index.m3u8
厦门卫视,http://120.84.96.162:808/hls/156/index.m3u8
中国天气,http://jydx.jdshipin.com:808/hls/33/index.m3u8
CHC动作电影,http://jydx.jdshipin.com:808/hls/34/index.m3u8
CHC家庭电影,http://jydx.jdshipin.com:808/hls/35/index.m3u8
CHC高清电影,http://diygz.f3322.org:9090/hls/110/index.m3u8
IPTV经典电影,http://diygz.f3322.org:9090/hls/99/index.m3u8
DOXTV,http://diygz.f3322.org:9090/hls/111/index.m3u8
IPTV热播剧场,http://jydx.jdshipin.com:808/hls/63/index.m3u8
魅力足球,http://jydx.jdshipin.com:808/hls/65/index.m3u8
网络棋P,http://jydx.jdshipin.com:808/hls/106/index.m3u8
书画频道,http://jydx.jdshipin.com:808/hls/107/index.m3u8
环球奇观,http://jydx.jdshipin.com:808/hls/110/index.m3u8
家庭理财,http://jydx.jdshipin.com:808/hls/112/index.m3u8
先锋乒羽,http://jydx.jdshipin.com:808/hls/113/index.m3u8
新动漫,http://jydx.jdshipin.com:808/hls/115/index.m3u8
央视精品,http://jydx.jdshipin.com:808/hls/116/index.m3u8
风云音乐,http://jydx.jdshipin.com:808/hls/117/index.m3u8
怀旧剧场,http://jydx.jdshipin.com:808/hls/118/index.m3u8
风云足球,http://jydx.jdshipin.com:808/hls/119/index.m3u8
风云剧场,http://jydx.jdshipin.com:808/hls/120/index.m3u8
第一剧场,http://jydx.jdshipin.com:808/hls/121/index.m3u8
世界地理,http://jydx.jdshipin.com:808/hls/124/index.m3u8
老故事,http://jydx.jdshipin.com:808/hls/125/index.m3u8
IPTV少儿动画,http://diygz.f3322.org:9090/hls/65/index.m3u8
卡酷动画,http://120.84.96.162:808/hls/144/index.m3u8
嘉佳卡通,http://diygz.f3322.org:9090/hls/12/index.m3u8
哈哈炫动,http://diygz.f3322.org:9090/hls/64/index.m3u8
金鹰卡通,http://diygz.f3322.org:9090/hls/63/index.m3u8
优漫卡通,http://jydx.jdshipin.com:808/hls/128/index.m3u8
凤凰香港,http://jydx.jdshipin.com:808/hls/38/index.m3u8
无线财经,http://120.84.96.162:808/hls/86/index.m3u8
天映经典频道,http://120.84.96.162:808/hls/85/index.m3u8
澳门莲花卫视,http://120.84.96.162:808/hls/24/index.m3u8
东森电影台,http://120.84.96.162:808/hls/32/index.m3u8
东森洋片台,http://120.84.96.162:808/hls/33/index.m3u8
LSTime电影台,http://120.84.96.162:808/hls/35/index.m3u8
HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
港台电视31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8
港台电视32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
澳视澳门,http://61.244.22.5/ch1/ch1.live/playlist.m3u8
澳视葡文,http://61.244.22.5/ch2/ch2.live/playlist.m3u8
澳门MACAU,http://61.244.22.5/ch3/ch3.live/playlist.m3u8
澳门体育,http://61.244.22.5/ch4/sport_ch4.live/playlist.m3u8
澳门资讯,http://61.244.22.5/ch5/info_ch5.live/playlist.m3u8
澳门综艺,http://61.244.22.5/ch6/hd_ch6.live/playlist.m3u8
原住民频道,https://streamipcf.akamaized.net/live/_definst_/smil:liveabr.smil/playlist.m3u8
GoodTV,https://akamai-live.akamaized.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
GoodTV2,https://akamai-live.akamaized.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
CGTNDocumentary,https://livedoc.cgtn.com/1000d/prog_index.m3u8
新华中文,https://source07.v.news.cn/live/CNC_CN/playlist.m3u8
新华英语,https://source07.v.news.cn/live/CNC_EN/playlist.m3u8
