央视频道,#genre#
CCTV1,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-1H265.m3u8?$1920x1080
CCTV2,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-2H265.m3u8?$1920x1080
CCTV3,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-3H265.m3u8?$1920x1080
CCTV4,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-4H265.m3u8?$1920x1080
CCTV5,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-5H265.m3u8?$1920x1080
CCTV5+,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-5plusH265.m3u8?$1920x1080
CCTV6,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-6H265.m3u8?$1920x1080
CCTV7,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-7H265.m3u8?$1920x1080
CCTV8,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-8H265.m3u8?$1920x1080
CCTV9,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-9H265.m3u8?$1920x1080
CCTV10,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-10H265.m3u8?$1920x1080
CCTV11,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-11-H265.m3u8?$1920x1080
CCTV12,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-12H265.m3u8?$1920x1080
CCTV13,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-xw.m3u8?$1920x1080
CCTV14,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-14H265.m3u8?$1920x1080
CCTV15,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-15-yyH265.m3u8?$1920x1080
CCTV16,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-16.m3u8?$1920x1080
CCTV17,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-17.m3u8?$1920x1080
CGTN,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CGTN.m3u8?$720x576
CGTN-西语,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xbyy.m3u8?$720x576
CGTN-法语,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/fy.m3u8?$720x576
CGTN-俄语,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ey.m3u8?$720x576
种养新影-老故事,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lgs.m3u8?$720x576
种养新影-发现之旅,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/fxzl.m3u8?$720x576
种养新影-中学生,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/zxs.m3u8?$720x576
央广购物,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/yggwgq.m3u8?$1920x1080
书画频道,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/sh.m3u8?$720x576
中国天气,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/zgqx.m3u8?$720x576
CETV1,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CETV-1H264.m3u8?$1920x1080
CETV2,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CETV-2.m3u8?$720x576
CETV4,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CETV-4H264.m3u8?$720x576


卫视频道,#genre#
北京卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/bjwsH265.m3u8?$1920x1080
东方卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dfwsH265.m3u8?$1920x1080
天津卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/tjwsH265.m3u8?$1920x1080
重庆卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/cqwsH265.m3u8?$1920x1080
黑龙江卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hljwsH265.m3u8?$1920x1080
吉林卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jlwsH265.m3u8?$1920x1080
辽宁卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lnwsHDH264.m3u8?$1920x1080
内蒙古卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/nmgws.m3u8?$720x576
甘肃卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gsws.m3u8?$720x576
青海卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/qhwsH264.m3u8?$1920x1080
陕西卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/sxws.m3u8?$720x576
山西卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/sxws42.m3u8?$720x576
山东卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/sdwsH265.m3u8?$1920x1080
安徽卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ahwsH265.m3u8?$1920x1080
河南卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hnws35.m3u8?$1920x1080
湖北卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hbwsH265.m3u8?$1920x1080
湖南卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hnwsH265.m3u8?$1920x1080
江西卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jxwsH265.m3u8?$1920x1080
江苏卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jswsH265.m3u8?$1920x1080
浙江卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/zjwsH265.m3u8?$1920x1080
东南卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dnwsfjwsH265.m3u8?$1920x1080
广东卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gdwsH265.m3u8?$1920x1080
深圳卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/szwsH265.m3u8?$1920x1080
广西卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gxws.m3u8?$720x576
云南卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ynws.m3u8?$720x576
贵州卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gzwsH265.m3u8?$1920x1080
四川卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/scwsH265.m3u8?$1920x1080
康巴卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/kbwsH264.m3u8?$720x576
新疆卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xjws.m3u8?$720x576
兵团卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/btws.m3u8?$720x576
西藏卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xzwsH264.m3u8?$720x576
海南卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hnws.m3u8?$720x576



特色频道,#genre#
4K超高清电影,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/emdy4k.m3u8?$1920x1080
CCTV4K,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ys4Kcq.m3u8?$小果
欢笑剧场4K,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hxjc-4k.m3u8?$3840x2160
CCTV16,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CCTV-16-4K.m3u8?$小果
CHC高清电影,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lnwsCHC-HDH265.m3u8?$1920x1080
CHC动作电影,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/wqCHCdzdyH265.m3u8?$1920x1080
CHC家庭影院,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jbtygqCHCjtyyH265.m3u8?$1920x1080

北京纪实科教,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/bjjs.m3u8?$720x576
四海钓鱼,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/shdy.m3u8?$720x576
车迷频道,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/cmpdH264.m3u8?$720x576
百姓健康,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/bxjkH264.m3u8?$720x576
卡酷少儿,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/kkkt.m3u8?$720x576
证券服务,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jz.m3u8?$720x576
聚鲨环球精选,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hqgw.m3u8?$720x576
东方财*,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dfcj.m3u8?$1920x1080
乐游,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/qjs-HDH265.m3u8?$1920x1080
生活时尚,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/shssH265.m3u8?$1920x1080
魅力足球,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/mlyy.m3u8?$1920x1080
动漫秀场,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/yybb-dmxc-H265.m3u8?$1920x1080
都市剧场,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/yxfydsjcHDH265.m3u8?$1920x1080
金色学堂,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jspd.m3u8?$1920x1080
新视觉,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ycxsjH265.m3u8?$1920x1080
劲爆体育,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lqhxjcHDH265.m3u8?$1920x1080
法治天地,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/fztx.m3u8?$1920x1080

汽摩,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/qmpdH264.m3u8?$720x576
家庭理财,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jtlc.m3u8?$720x576
家有购物,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jygw.m3u8?$720x576
优购物,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ygw.m3u8?$720x576
山东教育卫视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/sdjy.m3u8?$720x576
家家购物,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jjgw.m3u8?$720x576
梨园频道,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ly.m3u8?$1920x1080
武术世界,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/wssj.m3u8?$1920x1080
文物宝库,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/wwbk.m3u8?$1920x1080
茶频道,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/cpd.m3u8?$1920x1080
先锋乒羽,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xfpy.m3u8?$720x576
金鹰纪实,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jyjsHDH265.m3u8?$1920x1080
